Date,Location,AQI
2017-01-06,新港,149.0
2017-01-06,美濃,103.0
2017-01-06,臺東,28.0
2017-01-06,林口,129.0
2017-01-06,平鎮,97.0
2017-01-06,沙鹿,105.0
2017-01-06,朴子,128.0
2017-01-06,仁武,132.0
2017-01-06,馬祖,61.0
2017-01-06,菜寮,103.0
2017-01-06,龍潭,117.0
2017-01-06,大里,139.0
2017-01-06,安南,151.0
2017-01-06,大寮,109.0
2017-01-06,金門,149.0
2017-01-06,汐止,108.0
2017-01-06,新竹,106.0
2017-01-06,彰化,144.0
2017-01-06,臺南,160.0
2017-01-06,林園,49.0
2017-01-06,馬公,65.0
2017-01-07,基隆,43.0
2017-01-07,新莊,78.0
2017-01-07,湖口,70.0
2017-01-07,二林,81.0
2017-01-07,新營,153.0
2017-01-07,屏東,141.0
2017-01-07,士林,58.0
2017-01-07,板橋,82.0
2017-01-07,竹東,83.0
2017-01-07,南投,153.0
2017-01-07,善化,133.0
2017-01-07,潮州,128.0
2017-01-07,中山,66.0
2017-01-07,土城,87.0
2017-01-07,苗栗,80.0
2017-01-07,竹山,152.0
2017-01-07,楠梓,145.0
2017-01-07,恆春,42.0
2017-01-07,松山,66.0
2017-01-07,新店,87.0
2017-01-07,三義,79.0
2017-01-07,崙背,117.0
2017-01-07,左營,152.0
2017-01-07,宜蘭,38.0
2017-01-07,萬華,71.0
2017-01-07,萬里,49.0
2017-01-07,西屯,134.0
2017-01-07,斗六,158.0
2017-01-07,前金,149.0
2017-01-07,冬山,45.0
2017-01-07,古亭,91.0
2017-01-07,桃園,81.0
2017-01-07,忠明,139.0
2017-01-07,嘉義,155.0
2017-01-07,小港,153.0
2017-01-07,花蓮,32.0
2017-01-07,淡水,63.0
2017-01-07,大園,63.0
2017-01-07,豐原,118.0
2017-01-07,新港,131.0
2017-01-07,美濃,99.0
2017-01-07,臺東,28.0
2017-01-07,林口,106.0
2017-01-07,平鎮,70.0
2017-01-07,沙鹿,89.0
2017-01-07,朴子,122.0
2017-01-07,仁武,144.0
2017-01-07,馬祖,56.0
2017-01-07,菜寮,81.0
2017-01-07,龍潭,81.0
2017-01-07,大里,143.0
2017-01-07,安南,135.0
2017-01-07,大寮,127.0
2017-01-07,金門,142.0
2017-01-07,汐止,80.0
2017-01-07,新竹,82.0
2017-01-07,彰化,129.0
2017-01-07,臺南,152.0
2017-01-07,林園,77.0
2017-01-07,馬公,55.0
2017-01-08,基隆,48.0
2017-01-08,新莊,62.0
2017-01-08,湖口,52.0
2017-01-08,二林,83.0
2017-01-08,新營,123.0
2017-01-08,屏東,95.0
2017-01-08,士林,57.0
2017-01-08,板橋,64.0
2017-01-08,竹東,32.0
2017-01-08,南投,79.0
2017-01-08,善化,111.0
2017-01-08,潮州,22.0
2017-01-08,中山,63.0
2017-01-08,土城,65.0
2017-01-08,苗栗,57.0
2017-01-08,竹山,106.0
2017-01-08,楠梓,99.0
2017-01-08,恆春,61.0
2017-01-08,松山,52.0
2017-01-08,新店,58.0
2017-01-08,三義,64.0
2017-01-08,崙背,117.0
2017-01-08,左營,109.0
2017-01-08,宜蘭,41.0
2017-01-08,萬華,61.0
2017-01-08,萬里,46.0
2017-01-08,西屯,94.0
2017-01-08,斗六,94.0
2017-01-08,前金,101.0
2017-01-08,冬山,40.0
2017-01-08,古亭,68.0
2017-01-08,桃園,57.0
2017-01-08,忠明,87.0
2017-01-08,嘉義,122.0
2017-01-08,小港,110.0
2017-01-08,花蓮,37.0
2017-01-08,淡水,65.0
2017-01-08,大園,55.0
2017-01-08,豐原,55.0
2017-01-08,新港,108.0
2017-01-08,美濃,72.0
2017-01-08,臺東,29.0
2017-01-08,林口,73.0
2017-01-08,平鎮,45.0
2017-01-08,沙鹿,64.0
2017-01-08,朴子,98.0
2017-01-08,仁武,99.0
2017-01-08,馬祖,58.0
2017-01-08,菜寮,76.0
2017-01-08,龍潭,59.0
2017-01-08,大里,77.0
2017-01-08,安南,113.0
2017-01-08,大寮,92.0
2017-01-08,金門,113.0
2017-01-08,汐止,71.0
2017-01-08,新竹,65.0
2017-01-08,彰化,85.0
2017-01-08,臺南,119.0
2017-01-08,林園,90.0
2017-01-08,馬公,66.0
2017-01-09,基隆,67.0
2017-01-09,新莊,55.0
2017-01-09,湖口,60.0
2017-01-09,二林,55.0
2017-01-09,新營,88.0
2017-01-09,屏東,136.0
2017-01-09,士林,61.0
2017-01-09,板橋,65.0
2017-01-09,竹東,61.0
2017-01-09,南投,86.0
2017-01-09,善化,76.0
2017-01-09,潮州,132.0
2017-01-09,中山,57.0
2017-01-09,土城,68.0
2017-01-09,苗栗,64.0
2017-01-09,竹山,109.0
2017-01-09,楠梓,127.0
2017-01-09,恆春,46.0
2017-01-09,松山,67.0
2017-01-09,新店,77.0
2017-01-09,三義,61.0
2017-01-09,崙背,85.0
2017-01-09,左營,128.0
2017-01-09,宜蘭,60.0
2017-01-09,萬華,57.0
2017-01-09,萬里,80.0
2017-01-09,西屯,60.0
2017-01-09,斗六,85.0
2017-01-09,前金,121.0
2017-01-09,冬山,61.0
2017-01-09,古亭,78.0
2017-01-09,桃園,61.0
2017-01-09,忠明,52.0
2017-01-09,嘉義,104.0
2017-01-09,小港,147.0
2017-01-09,花蓮,44.0
2017-01-09,淡水,65.0
2017-01-09,大園,64.0
2017-01-09,豐原,48.0
2017-01-09,新港,82.0
2017-01-09,美濃,97.0
2017-01-09,臺東,36.0
2017-01-09,林口,81.0
2017-01-09,平鎮,62.0
2017-01-09,沙鹿,58.0
2017-01-09,朴子,76.0
2017-01-09,仁武,107.0
2017-01-09,馬祖,87.0
2017-01-09,菜寮,66.0
2017-01-09,龍潭,67.0
2017-01-09,大里,63.0
2017-01-09,安南,78.0
2017-01-09,大寮,114.0
2017-01-09,金門,89.0
2017-01-09,汐止,79.0
2017-01-09,新竹,69.0
2017-01-09,彰化,63.0
2017-01-09,臺南,85.0
2017-01-09,林園,101.0
2017-01-09,馬公,70.0
2017-01-10,基隆,91.0
2017-01-10,新莊,73.0
2017-01-10,湖口,88.0
2017-01-10,二林,87.0
2017-01-10,新營,121.0
2017-01-10,屏東,142.0
2017-01-10,士林,80.0
2017-01-10,板橋,76.0
2017-01-10,竹東,76.0
2017-01-10,南投,106.0
2017-01-10,善化,127.0
2017-01-10,潮州,138.0
2017-01-10,中山,90.0
2017-01-10,土城,81.0
2017-01-10,苗栗,84.0
2017-01-10,竹山,140.0
2017-01-10,楠梓,145.0
2017-01-10,恆春,58.0
2017-01-10,松山,91.0
2017-01-10,新店,93.0
2017-01-10,三義,80.0
2017-01-10,崙背,126.0
2017-01-10,左營,147.0
2017-01-10,宜蘭,80.0
2017-01-10,萬華,86.0
2017-01-10,萬里,97.0
2017-01-10,西屯,89.0
2017-01-10,斗六,128.0
2017-01-10,前金,137.0
2017-01-10,冬山,75.0
2017-01-10,古亭,93.0
2017-01-10,桃園,96.0
2017-01-10,忠明,94.0
2017-01-10,嘉義,131.0
2017-01-10,小港,151.0
2017-01-10,花蓮,67.0
2017-01-10,淡水,83.0
2017-01-10,大園,91.0
2017-01-10,豐原,63.0
2017-01-10,新港,112.0
2017-01-10,美濃,128.0
2017-01-10,臺東,56.0
2017-01-10,林口,102.0
2017-01-10,平鎮,82.0
2017-01-10,沙鹿,85.0
2017-01-10,朴子,102.0
2017-01-10,仁武,125.0
2017-01-10,馬祖,152.0
2017-01-10,菜寮,81.0
2017-01-10,龍潭,88.0
2017-01-10,大里,88.0
2017-01-10,安南,112.0
2017-01-10,大寮,124.0
2017-01-10,金門,130.0
2017-01-10,汐止,95.0
2017-01-10,新竹,90.0
2017-01-10,彰化,98.0
2017-01-10,臺南,120.0
2017-01-10,林園,136.0
2017-01-10,馬公,98.0
2017-01-11,基隆,71.0
2017-01-11,新莊,62.0
2017-01-11,湖口,68.0
2017-01-11,二林,78.0
2017-01-11,新營,124.0
2017-01-11,屏東,166.0
2017-01-11,士林,72.0
2017-01-11,板橋,69.0
2017-01-11,竹東,73.0
2017-01-11,南投,123.0
2017-01-11,善化,148.0
2017-01-11,潮州,156.0
2017-01-11,中山,79.0
2017-01-11,土城,70.0
2017-01-11,苗栗,83.0
2017-01-11,竹山,133.0
2017-01-11,楠梓,157.0
2017-01-11,恆春,53.0
2017-01-11,松山,84.0
2017-01-11,新店,79.0
2017-01-11,三義,88.0
2017-01-11,崙背,119.0
2017-01-11,左營,156.0
2017-01-11,宜蘭,73.0
2017-01-11,萬華,71.0
2017-01-11,萬里,81.0
2017-01-11,西屯,94.0
2017-01-11,斗六,134.0
2017-01-11,前金,155.0
2017-01-11,冬山,76.0
2017-01-11,古亭,82.0
2017-01-11,桃園,70.0
2017-01-11,忠明,92.0
2017-01-11,嘉義,152.0
2017-01-11,小港,157.0
2017-01-11,花蓮,57.0
2017-01-11,淡水,63.0
2017-01-11,大園,76.0
2017-01-11,豐原,68.0
2017-01-11,新港,104.0
2017-01-11,美濃,140.0
2017-01-11,臺東,54.0
2017-01-11,林口,80.0
2017-01-11,平鎮,73.0
2017-01-11,沙鹿,78.0
2017-01-11,朴子,96.0
2017-01-11,仁武,154.0
2017-01-11,馬祖,105.0
2017-01-11,菜寮,67.0
2017-01-11,龍潭,82.0
2017-01-11,大里,124.0
2017-01-11,安南,124.0
2017-01-11,大寮,149.0
2017-01-11,金門,152.0
2017-01-11,汐止,84.0
2017-01-11,新竹,76.0
2017-01-11,彰化,108.0
2017-01-11,臺南,146.0
2017-01-11,林園,159.0
2017-01-11,馬公,86.0
2017-01-12,基隆,39.0
2017-01-12,新莊,29.0
2017-01-12,湖口,36.0
2017-01-12,二林,63.0
2017-01-12,新營,119.0
2017-01-12,屏東,154.0
2017-01-12,士林,38.0
2017-01-12,板橋,37.0
2017-01-12,竹東,69.0
2017-01-12,南投,128.0
2017-01-12,善化,118.0
2017-01-12,潮州,146.0
2017-01-12,中山,34.0
2017-01-12,土城,45.0
2017-01-12,苗栗,60.0
2017-01-12,竹山,151.0
2017-01-12,楠梓,142.0
2017-01-12,恆春,44.0
2017-01-12,松山,36.0
2017-01-12,新店,59.0
2017-01-12,三義,71.0
2017-01-12,崙背,102.0
2017-01-12,左營,125.0
2017-01-12,宜蘭,46.0
2017-01-12,萬華,36.0
2017-01-12,萬里,47.0
2017-01-12,西屯,82.0
2017-01-12,斗六,109.0
2017-01-12,前金,131.0
2017-01-12,冬山,47.0
2017-01-12,古亭,51.0
2017-01-12,桃園,41.0
2017-01-12,忠明,79.0
2017-01-12,嘉義,122.0
2017-01-12,小港,151.0
2017-01-12,花蓮,53.0
2017-01-12,淡水,33.0
2017-01-12,大園,35.0
2017-01-12,豐原,87.0
2017-01-12,新港,99.0
2017-01-12,美濃,156.0
2017-01-12,臺東,32.0
2017-01-12,林口,54.0
2017-01-12,平鎮,35.0
2017-01-12,沙鹿,57.0
2017-01-12,朴子,88.0
2017-01-12,仁武,126.0
2017-01-12,馬祖,31.0
